Date;Sell Date;Ticker;Buy Price;Sell Price;Confidence Score;Expected P/L (%);Actual P/L (%);Met Expectation;Is Profit;Deviation;Kazanma İhtimali (%);Eğim (Slope);R2;PD/DD (Price to Book);FD/FAVÖK (EV/EBITDA);F/K (Trailing PE);FAVÖK Marjı (EBITDA Margin);ROE;ROA;Ortalama Hacim (Avg Volume);Finansal Güven Skoru;Finansal x Küme Güveni
2025-05-02;2025-05-13;SMRVA.IS;27,43;28,63;1,7489949723878366;1,529680376979807;-0,04324941552043915;False;True;-15,06;1,5223449148566999;0,20775898998423822;0,2551804670517773;-0,22482582050953653;-0,07540313276186843;-0,4448311676543633;0,3381133960627718;0,42199785271284057;0,5685265273547591;0,10689853086540234;0,260242594543457;0,45516298945767253
2025-05-05;2025-05-14;SMRVA.IS;30,04;29,46;2,359323748859286;2,0392641430015637;-0,3574610634837306;False;False;-23,8;1,836167401974113;0,33326060041218203;0,28458464543744627;-0,22482582050953653;-0,07540313276186843;-0,4448311676543633;0,3381133960627718;0,42199785271284057;0,5685265273547591;0,10689853086540234;0,260242594543457;0,6139965337711362
2025-05-06;2025-05-15;DERHL.IS;161,6;124,1;1,9120538213743483;1,586770674417929;-1,412278997009788;False;False;-42,9;1,8365973580328259;0,41659888651403965;0,704113720126296;-0,23574873767656374;-0,07716973038916675;;-0,09764878734054429;-0,19228629819352758;0,2740890863252949;-0,35640755018222264;-5,8348241473491;-11,15649780798617
2025-05-07;2025-05-16;DERHL.IS;156,0;136,5;2,8076117623065096;2,3606613730235844;-0,880650758512655;False;False;-35,86;2,1561233629626377;0,4223122137375513;0,7087641572655284;-0,23574873767656374;-0,07716973038916675;;-0,09764878734054429;-0,19228629819352758;0,2740890863252949;-0,35640755018222264;-5,8348241473491;-16,381920907087384
2025-05-08;2025-05-20;DERHL.IS;147,5;122,9;2,4781921639152653;2,421980581383049;-1,088139650848604;False;False;-40,33;1,207581754008596;0,40860043363079385;0,6899898286770958;-0,23574873767656374;-0,07716973038916675;;-0,09764878734054429;-0,19228629819352758;0,2740890863252949;-0,35640755018222264;-5,8348241473491;-14,45981547978411
2025-05-09;2025-05-21;DERHL.IS;126,7;110,7;1,7558188999188282;1,8997100825972653;-0,887103762341285;False;False;-33,81;0,5773146734822555;0,2700494079957045;0,41078871771532127;-0,23574873767656374;-0,07716973038916675;;-0,09764878734054429;-0,19228629819352758;0,2740890863252949;-0,35640755018222264;-5,8348241473491;-10,244894515618313
2025-05-12;2025-05-22;SMRVA.IS;31,81;33,38;2,8259097937908213;2,379691472169625;-0,014955475656446072;False;True;-18,51;2,1536287260887246;1,1331917554688113;0,9343778063603012;-0,22482582050953653;-0,07540313276186843;-0,4448311676543633;0,3381133960627718;0,42199785271284057;0,5685265273547591;0,10689853086540234;0,260242594543457;0,7354220966818888
2025-05-13;2025-05-23;SMRVA.IS;28,63;33,68;2,1577702441636744;2,0794387967543164;0,6149569749998205;False;True;-4,4;1,2088772650545796;0,9903451206688866;0,7766654604624827;-0,22482582050953653;-0,07540313276186843;-0,4448311676543633;0,3381133960627718;0,42199785271284057;0,5685265273547591;0,10689853086540234;0,260242594543457;0,5615437267698233
2025-05-14;2025-05-26;SMRVA.IS;29,46;31,79;2,1577702441636744;2,0794387967543164;0,13346361240204382;False;True;-14,1;1,2088772650545796;0,7374685872382379;0,5849067591540502;-0,22482582050953653;-0,07540313276186843;-0,4448311676543633;0,3381133960627718;0,42199785271284057;0,5685265273547591;0,10689853086540234;0,260242594543457;0,5615437267698233
2025-05-15;2025-05-27;SMRVA.IS;29,46;28,65;2,552347344141159;2,362775828484256;-0,3956827015456159;False;False;-26,11;1,5252611374322818;0,49339061821451363;0,3542271249232417;-0,22482582050953653;-0,07540313276186843;-0,4448311676543633;0,3381133960627718;0,42199785271284057;0,5685265273547591;0,10689853086540234;0,260242594543457;0,6642294950153969
